coin_id,date,open,high,low,close,volume
litecoin,2025-08-22,114.64163970947266,123.50634002685547,112.6678466796875,122.79264068603516,865400443
litecoin,2025-08-23,122.7927474975586,123.15911865234375,119.83235168457031,121.34606170654297,513144353
litecoin,2025-08-24,121.3503646850586,124.64083099365234,117.30414581298828,118.19590759277344,739400069
litecoin,2025-08-25,118.19728088378906,118.4730453491211,107.12153625488281,109.44448852539062,1051702884
litecoin,2025-08-26,109.44176483154297,114.69602966308594,109.10990142822266,113.49969482421875,675662110
litecoin,2025-08-27,113.4992904663086,116.1255111694336,112.04985046386719,112.13909912109375,639072158
litecoin,2025-08-28,112.13748168945312,114.52999877929688,111.56938171386719,113.75818634033203,498513993
litecoin,2025-08-29,113.75794219970703,113.75794219970703,108.86856079101562,109.91402435302734,634205711
litecoin,2025-08-30,109.91385650634766,111.1325454711914,108.60655212402344,110.81029510498047,375821556
litecoin,2025-08-31,110.8102035522461,111.86898040771484,108.89058685302734,108.90846252441406,330538313
litecoin,2025-09-01,108.90746307373047,111.24774169921875,106.79910278320312,108.54405212402344,580389986
litecoin,2025-09-02,108.54483795166016,112.05509948730469,108.54483795166016,111.67447662353516,614989597
litecoin,2025-09-03,111.67508697509766,113.21360778808594,110.84223937988281,112.95296478271484,459682611
litecoin,2025-09-04,112.95296478271484,113.4330825805664,109.66930389404297,111.09365844726562,401689027
litecoin,2025-09-05,111.09260559082031,114.95743560791016,111.08059692382812,112.10284423828125,575953638
litecoin,2025-09-06,112.10284423828125,112.48799896240234,111.29491424560547,112.16635131835938,273199193
litecoin,2025-09-07,112.1665267944336,115.26837921142578,112.16124725341797,115.02294158935547,383914303
litecoin,2025-09-08,115.02420043945312,115.30451965332031,112.03854370117188,112.71385192871094,687724220
litecoin,2025-09-09,112.71476745605469,114.62589263916016,110.95941162109375,111.94290924072266,577640276
litecoin,2025-09-10,111.94308471679688,117.87779235839844,111.60301208496094,117.56956481933594,690880713
litecoin,2025-09-11,117.56826782226562,117.65097045898438,113.49243927001953,115.86506652832031,713400215
litecoin,2025-09-12,115.86517333984375,118.23968505859375,114.94580078125,118.1546859741211,732906569
litecoin,2025-09-13,118.15619659423828,120.79342651367188,117.63170623779297,119.29096221923828,779591173
litecoin,2025-09-14,119.29077911376953,119.33483123779297,114.10334014892578,115.20269775390625,724782000
litecoin,2025-09-15,115.2022705078125,116.72882080078125,112.38194274902344,113.78031158447266,626419211
litecoin,2025-09-16,113.78041076660156,115.73894500732422,112.24949645996094,115.03520202636719,596285131
litecoin,2025-09-17,115.03548431396484,117.55502319335938,113.4832534790039,117.03031921386719,653794448
litecoin,2025-09-18,117.02936553955078,119.03903198242188,115.08155822753906,118.26287078857422,694529748
litecoin,2025-09-19,118.2651596069336,119.37104034423828,113.5367202758789,114.12752532958984,582773714
litecoin,2025-09-20,114.12722778320312,115.20100402832031,113.57084655761719,113.96715545654297,355111514
litecoin,2025-09-21,113.96725463867188,116.17369079589844,113.89693450927734,114.11297607421875,410249227
litecoin,2025-09-22,114.11297607421875,114.394287109375,104.7634048461914,105.81873321533203,876073231
litecoin,2025-09-23,105.81881713867188,107.22338104248047,104.60342407226562,106.15792846679688,523184699
litecoin,2025-09-24,106.15680694580078,107.60359191894531,105.1136474609375,105.61560821533203,589064383
litecoin,2025-09-25,105.61759185791016,105.84506225585938,100.81879425048828,102.16448211669922,672852348
litecoin,2025-09-26,102.16448211669922,104.8933334350586,101.16643524169922,104.64485931396484,473689137
litecoin,2025-09-27,104.64485931396484,104.9557113647461,103.49834442138672,104.54808044433594,286702721
litecoin,2025-09-28,104.54817199707031,107.12031555175781,102.8808364868164,106.8475112915039,344669714
litecoin,2025-09-29,106.84776306152344,107.33427429199219,105.46658325195312,106.8386001586914,499980246
litecoin,2025-09-30,106.83815002441406,107.55210876464844,104.02041625976562,106.8980712890625,489043119
litecoin,2025-10-01,106.89817810058594,115.24842834472656,105.52688598632812,115.12531280517578,825797330
